tconst,averageRating,numVotes
tt0187738,6.7,234452
tt0187750,4.7,386
tt0187761,5.1,120
tt0187847,6.6,47
tt0188045,5.3,319
tt0188055,5.4,2339
tt0188128,6.6,1342
tt0188160,6.1,906
tt0188453,6.0,26334
tt0188490,6.6,89
tt0188518,5.8,927
tt0188575,5.6,81
tt0188688,4.6,180
tt0189192,5.7,20208
tt0189456,4.4,3766
tt0189541,4.8,1603
tt0189998,6.9,44176
tt0190052,4.2,129
tt0190138,6.7,129168
tt0190331,3.9,197
tt0190332,7.9,281638
tt0190374,3.6,36271
tt0190398,4.9,236
tt0190449,6.2,88
tt0190524,4.3,10512
tt0190590,7.7,330890
tt0190736,4.2,641
tt0190861,6.6,8255
tt0190865,5.9,65352
tt0190938,5.3,1021
tt0190994,4.6,152
tt0191010,5.6,126
tt0191037,5.6,2356
tt0191074,5.2,3468
tt0191133,5.6,7620
tt0191177,5.3,92
tt0191211,5.5,51
tt0191242,5.1,642
tt0191397,6.6,69489
tt0191636,7.1,5731
tt0191754,6.1,54426
tt0191787,5.9,82
tt0191996,6.0,4322
tt0192023,6.2,3315
tt0192071,5.7,20026
tt0192110,8.3,39
tt0192111,5.4,15299
tt0192126,4.1,642
tt0192237,6.7,151
tt0192255,5.7,11510
tt0192295,5.7,656
tt0192346,6.7,67
tt0192455,4.7,3924
tt0192528,3.1,146
tt0192614,5.6,33715
tt0192719,4.7,696
tt0192731,4.4,18957
tt0192788,6.4,1374
tt0192789,6.6,26
tt0192912,4.2,124
tt0192947,7.7,54
tt0192949,5.7,1800
tt0193011,5.3,52
tt0193135,5.5,204
tt0193318,3.1,813
tt0193364,4.6,9356
tt0193365,7.1,31
tt0193537,4.1,112
tt0193545,5.7,196
tt0193560,5.2,6319
tt0193598,6.3,23
tt0193854,6.2,2464
tt0193859,4.5,106
tt0194104,7.0,2997
tt0194218,6.7,9044
tt0194368,6.0,4342
tt0194410,4.2,466
tt0194519,6.6,380
tt0195108,7.6,9
tt0195234,6.9,19329
tt0195308,4.3,400
tt0195393,4.9,132
tt0195551,6.5,67
tt0195631,5.0,404
tt0195685,7.4,221367
tt0195714,6.7,279541
tt0195778,5.2,8894
tt0195857,5.2,171
tt0195860,5.4,56
tt0195944,4.3,154
tt0195945,6.1,44097
tt0196068,4.8,245
tt0196069,7.7,8252
tt0196106,4.2,2749
tt0196158,3.5,7736
tt0196216,6.7,40655
tt0196219,2.2,1259
tt0196223,5.3,1298
tt0196229,6.5,291934
tt0196708,6.2,2734
tt0196723,5.6,1461
tt0197072,3.8,660
tt0197096,6.8,2914
tt0197299,3.6,124
tt0197384,5.8,3511
tt0197633,4.8,706
tt0197644,4.5,180
tt0197646,4.7,296
tt0197750,3.9,2397
tt0197753,5.6,575
tt0197862,7.6,83
tt0197929,6.3,28
tt0197996,5.0,454
tt0198013,8.6,20
tt0198021,6.7,36360
tt0198284,4.5,863
tt0198386,5.6,6688
tt0198460,5.8,302
tt0198748,8.2,79
tt0198781,8.1,978972
tt0198893,4.1,184
tt0198903,5.2,273
tt0199007,4.3,435
tt0199129,6.3,286
tt0199290,4.7,3695
tt0199314,5.9,6795
tt0199481,2.7,5428
tt0199504,5.3,67
tt0199602,6.4,40
tt0199626,5.4,26466
tt0199650,4.0,1099
tt0199725,7.2,24318
tt0199727,6.4,5747
tt0199744,5.0,412
tt0199753,5.7,59924
tt0199898,4.8,298
tt0199974,4.8,1167
tt0200027,6.5,30553
tt0200171,6.1,215
tt0200192,5.4,6460
tt0200422,4.8,863
tt0200427,6.9,1808
tt0200465,7.2,189185
tt0200472,5.6,2409
tt0200483,5.3,58
tt0200525,6.3,26
tt0200530,6.6,5887
tt0200550,5.7,120940
tt0200669,5.9,4605
tt0200720,7.0,8084
tt0200954,3.7,961
tt0201020,6.3,209
tt0201275,7.8,58
tt0201394,5.1,1590
tt0201479,3.9,687
tt0201485,5.3,9498
tt0201670,6.0,423
tt0201694,2.6,1148
tt0201726,4.6,364
tt0201737,4.9,203
tt0201844,2.5,4551
tt0201888,6.9,731
tt0201899,6.8,1661
tt0201901,5.4,328
tt0201934,4.7,77
tt0202236,4.7,971
tt0202294,7.2,69
tt0202314,3.2,1330
tt0202360,5.2,70
tt0202402,5.5,11999
tt0202452,4.4,53
tt0202458,1.9,186
tt0202470,6.3,45300
tt0202487,7.7,24
tt0202560,7.2,24
tt0202623,5.4,4967
tt0202641,7.2,1731
tt0202677,6.6,35236
tt0202695,5.4,85
tt0202711,6.4,947
tt0202829,6.9,14
tt0202856,6.2,195
tt0202989,4.4,736
tt0203009,7.6,299368
tt0203019,7.2,125149
tt0203047,6.2,90
tt0203053,5.5,906
tt0203078,5.4,46
tt0203119,7.3,69268
tt0203144,6.8,18
tt0203166,7.4,24346
tt0203206,8.2,10
tt0203230,7.5,31423
tt0203289,6.6,1669
tt0203297,5.2,568
tt0203536,4.6,667
tt0203540,6.8,6551
tt0203580,3.7,298
tt0203584,6.3,256
tt0203632,7.4,14945
tt0203755,6.2,31312
tt0203830,4.7,312
tt0203835,3.1,905
tt0203912,5.2,101
tt0203940,3.9,3206
tt0203952,4.6,159
tt0203975,4.7,3497
tt0204137,6.6,14642
tt0204174,3.6,209
tt0204175,5.4,17602
tt0204250,2.2,698
tt0204313,5.1,39796
tt0204322,5.1,1020
tt0204350,4.9,1395
tt0204352,6.7,96
tt0204382,7.2,37
tt0204619,4.7,86
tt0204626,5.3,28483
tt0204640,6.7,3509
tt0204679,7.7,18
tt0204698,7.4,44
tt0204700,5.9,9305
tt0204761,5.6,2028
tt0204885,5.7,95
tt0204932,7.3,4481
tt0204933,4.5,166
tt0204946,6.1,105754
tt0205177,5.7,14521
tt0205271,4.7,20269
tt0205380,4.2,185
tt0205418,2.9,2874
tt0205461,4.2,4764
tt0205498,6.0,226
tt0205526,3.6,184
tt0205729,3.8,61
tt0205738,6.5,552
tt0205778,6.6,85
tt0205873,7.2,17102
tt0205936,5.1,254
tt0206075,3.4,611
tt0206088,6.2,349
